agreement,annotation_id,annotator,created_at,entities,id,label,lead_time,raw_text,updated_at,url
33.33,98913508,175922,2026-07-08T14:20:40.710108Z,"[{""end"":27,""text"":""mannose"",""start"":20,""category"":""MOL""},{""end"":56,""text"":""DC-SIGN"",""start"":49,""category"":""MOL""},{""end"":65,""text"":""MRC1"",""start"":61,""category"":""MOL""},{""end"":129,""text"":""gromacs"",""start"":122,""category"":""SOFTNAME""},{""end"":137,""text"":""2023.2"",""start"":131,""category"":""SOFTVERS""},{""end"":202,""text"":""Carbohydrate Recognition Domain"",""start"":171,""category"":""MOL""},{""end"":207,""text"":""CRD"",""start"":204,""category"":""MOL""},{""end"":242,""text"":""DC-SIGN"",""start"":235,""category"":""MOL""},{""end"":289,""text"":""mannose"",""start"":282,""category"":""MOL""},{""end"":331,""text"":""mannose"",""start"":324,""category"":""MOL""},{""end"":401,""text"":""MRC1"",""start"":397,""category"":""MOL""},{""end"":445,""text"":""TIP3P"",""start"":440,""category"":""FFM""},{""end"":463,""text"":""295.15 K"",""start"":455,""category"":""STEMP""},{""end"":481,""text"":""charmm36"",""start"":473,""category"":""FFM""},{""end"":577,""text"":""500 ns"",""start"":571,""category"":""STIME""},{""end"":661,""text"":""1500 ns"",""start"":654,""category"":""STIME""}]",268138565,"[{""end"":27,""text"":""mannose"",""start"":20,""labels"":[""MOL""]},{""end"":56,""text"":""DC-SIGN"",""start"":49,""labels"":[""MOL""]},{""end"":65,""text"":""MRC1"",""start"":61,""labels"":[""MOL""]},{""end"":129,""text"":""gromacs"",""start"":122,""labels"":[""SOFTNAME""]},{""end"":137,""text"":""2023.2"",""start"":131,""labels"":[""SOFTVERS""]},{""end"":234,""text"":""sugar receptor protein"",""start"":212,""labels"":[""MOL""]},{""end"":242,""text"":""DC-SIGN"",""start"":235,""labels"":[""MOL""]},{""end"":260,""text"":""water"",""start"":255,""labels"":[""MOL""]},{""end"":289,""text"":""mannose"",""start"":282,""labels"":[""MOL""]},{""end"":331,""text"":""mannose"",""start"":324,""labels"":[""MOL""]},{""end"":401,""text"":""MRC1"",""start"":397,""labels"":[""MOL""]},{""end"":445,""text"":""TIP3P"",""start"":440,""labels"":[""FFM""]},{""end"":463,""text"":""295.15 K"",""start"":455,""labels"":[""STEMP""]},{""end"":481,""text"":""charmm36"",""start"":473,""labels"":[""FFM""]},{""end"":662,""text"":""1500 ns "",""start"":654,""labels"":[""STIME""]},{""end"":577,""text"":""500 ns"",""start"":571,""labels"":[""STIME""]}]",88.007,"All atomistic MD of mannose binding interface in DC-SIGN and MRC1
This is a set of all atomistic MD simulations made with gromacs (2023.2). It includes simulations of the Carbohydrate Recognition Domain (CRD) of sugar receptor protein DC-SIGN solvated in water without ligand, with mannose as ligand and with a variation of mannose based ligands. It also includes the same set of simulations with MRC1 as receptor. Simulations were done in TIP3P water at 295.15 K with the charmm36 forcefield. Each ligand-receptor combination was simulated in three separate replica for 500 ns per replica. The three replicas were concatenated to one full simulation of 1500 ns (15003 frames), the water was removed.",2026-07-08T14:20:40.710122Z,https://zenodo.org/records/17550324
33.33,97146539,175924,2026-06-08T13:14:12.634466Z,"[{""end"":27,""text"":""mannose"",""start"":20,""category"":""MOL""},{""end"":56,""text"":""DC-SIGN"",""start"":49,""category"":""MOL""},{""end"":65,""text"":""MRC1"",""start"":61,""category"":""MOL""},{""end"":129,""text"":""gromacs"",""start"":122,""category"":""SOFTNAME""},{""end"":137,""text"":""2023.2"",""start"":131,""category"":""SOFTVERS""},{""end"":202,""text"":""Carbohydrate Recognition Domain"",""start"":171,""category"":""MOL""},{""end"":207,""text"":""CRD"",""start"":204,""category"":""MOL""},{""end"":242,""text"":""DC-SIGN"",""start"":235,""category"":""MOL""},{""end"":289,""text"":""mannose"",""start"":282,""category"":""MOL""},{""end"":331,""text"":""mannose"",""start"":324,""category"":""MOL""},{""end"":401,""text"":""MRC1"",""start"":397,""category"":""MOL""},{""end"":445,""text"":""TIP3P"",""start"":440,""category"":""FFM""},{""end"":463,""text"":""295.15 K"",""start"":455,""category"":""STEMP""},{""end"":481,""text"":""charmm36"",""start"":473,""category"":""FFM""},{""end"":577,""text"":""500 ns"",""start"":571,""category"":""STIME""},{""end"":661,""text"":""1500 ns"",""start"":654,""category"":""STIME""}]",268138565,"[{""end"":27,""text"":""mannose"",""start"":20,""labels"":[""MOL""]},{""end"":56,""text"":""DC-SIGN"",""start"":49,""labels"":[""MOL""]},{""end"":65,""text"":""MRC1"",""start"":61,""labels"":[""MOL""]},{""end"":129,""text"":""gromacs"",""start"":122,""labels"":[""SOFTNAME""]},{""end"":137,""text"":""2023.2"",""start"":131,""labels"":[""SOFTVERS""]},{""end"":207,""text"":""CRD"",""start"":204,""labels"":[""MOL""]},{""end"":202,""text"":""Carbohydrate Recognition Domain"",""start"":171,""labels"":[""MOL""]},{""end"":242,""text"":""DC-SIGN"",""start"":235,""labels"":[""MOL""]},{""end"":289,""text"":""mannose"",""start"":282,""labels"":[""MOL""]},{""end"":331,""text"":""mannose"",""start"":324,""labels"":[""MOL""]},{""end"":401,""text"":""MRC1"",""start"":397,""labels"":[""MOL""]},{""end"":445,""text"":""TIP3P"",""start"":440,""labels"":[""FFM""]},{""end"":463,""text"":""295.15 K"",""start"":455,""labels"":[""STEMP""]},{""end"":481,""text"":""charmm36"",""start"":473,""labels"":[""FFM""]},{""end"":577,""text"":""500 ns"",""start"":571,""labels"":[""STIME""]},{""end"":661,""text"":""1500 ns"",""start"":654,""labels"":[""STIME""]}]",96.276,"All atomistic MD of mannose binding interface in DC-SIGN and MRC1
This is a set of all atomistic MD simulations made with gromacs (2023.2). It includes simulations of the Carbohydrate Recognition Domain (CRD) of sugar receptor protein DC-SIGN solvated in water without ligand, with mannose as ligand and with a variation of mannose based ligands. It also includes the same set of simulations with MRC1 as receptor. Simulations were done in TIP3P water at 295.15 K with the charmm36 forcefield. Each ligand-receptor combination was simulated in three separate replica for 500 ns per replica. The three replicas were concatenated to one full simulation of 1500 ns (15003 frames), the water was removed.",2026-06-08T13:14:12.634483Z,https://zenodo.org/records/17550324
33.33,96431692,175921,2026-05-26T09:04:56.251256Z,"[{""end"":27,""text"":""mannose"",""start"":20,""category"":""MOL""},{""end"":56,""text"":""DC-SIGN"",""start"":49,""category"":""MOL""},{""end"":65,""text"":""MRC1"",""start"":61,""category"":""MOL""},{""end"":129,""text"":""gromacs"",""start"":122,""category"":""SOFTNAME""},{""end"":137,""text"":""2023.2"",""start"":131,""category"":""SOFTVERS""},{""end"":202,""text"":""Carbohydrate Recognition Domain"",""start"":171,""category"":""MOL""},{""end"":207,""text"":""CRD"",""start"":204,""category"":""MOL""},{""end"":242,""text"":""DC-SIGN"",""start"":235,""category"":""MOL""},{""end"":289,""text"":""mannose"",""start"":282,""category"":""MOL""},{""end"":331,""text"":""mannose"",""start"":324,""category"":""MOL""},{""end"":401,""text"":""MRC1"",""start"":397,""category"":""MOL""},{""end"":445,""text"":""TIP3P"",""start"":440,""category"":""FFM""},{""end"":463,""text"":""295.15 K"",""start"":455,""category"":""STEMP""},{""end"":481,""text"":""charmm36"",""start"":473,""category"":""FFM""},{""end"":577,""text"":""500 ns"",""start"":571,""category"":""STIME""},{""end"":661,""text"":""1500 ns"",""start"":654,""category"":""STIME""}]",268138565,"[{""end"":27,""text"":""mannose"",""start"":20,""labels"":[""MOL""]},{""end"":289,""text"":""mannose"",""start"":282,""labels"":[""MOL""]},{""end"":661,""text"":""1500 ns"",""start"":654,""labels"":[""STIME""]},{""end"":577,""text"":""500 ns"",""start"":571,""labels"":[""STIME""]},{""end"":463,""text"":""295.15 K"",""start"":455,""labels"":[""STEMP""]},{""end"":445,""text"":""TIP3P"",""start"":440,""labels"":[""FFM""]},{""end"":331,""text"":""mannose"",""start"":324,""labels"":[""MOL""]},{""end"":481,""text"":""charmm36"",""start"":473,""labels"":[""FFM""]},{""end"":242,""text"":""DC-SIGN"",""start"":235,""labels"":[""MOL""]},{""end"":65,""text"":""MRC1"",""start"":61,""labels"":[""MOL""]},{""end"":56,""text"":""DC-SIGN"",""start"":49,""labels"":[""MOL""]},{""end"":139,""text"":""2023.2)."",""start"":131,""labels"":[""SOFTVERS""]},{""end"":129,""text"":""gromacs"",""start"":122,""labels"":[""SOFTNAME""]},{""end"":137,""text"":""2023.2"",""start"":131,""labels"":[""MOL""]},{""end"":402,""text"":""MRC1 "",""start"":397,""labels"":[""MOL""]},{""end"":207,""text"":""CRD"",""start"":204,""labels"":[""MOL""]}]",1423.722,"All atomistic MD of mannose binding interface in DC-SIGN and MRC1
This is a set of all atomistic MD simulations made with gromacs (2023.2). It includes simulations of the Carbohydrate Recognition Domain (CRD) of sugar receptor protein DC-SIGN solvated in water without ligand, with mannose as ligand and with a variation of mannose based ligands. It also includes the same set of simulations with MRC1 as receptor. Simulations were done in TIP3P water at 295.15 K with the charmm36 forcefield. Each ligand-receptor combination was simulated in three separate replica for 500 ns per replica. The three replicas were concatenated to one full simulation of 1500 ns (15003 frames), the water was removed.",2026-05-28T09:47:36.066806Z,https://zenodo.org/records/17550324
33.33,99082153,175922,2026-07-10T14:08:07.765893Z,"[{""end"":81,""text"":""n-alkanes"",""start"":72,""category"":""MOL""},{""end"":99,""text"":""phospholipid"",""start"":87,""category"":""MOL""},{""end"":117,""text"":""CHARMM36"",""start"":109,""category"":""FFM""},{""end"":132,""text"":""Slipids"",""start"":125,""category"":""FFM""},{""end"":174,""text"":""n-alkane"",""start"":166,""category"":""MOL""},{""end"":249,""text"":""n-alkanes"",""start"":240,""category"":""MOL""},{""end"":267,""text"":""phospholipid"",""start"":255,""category"":""MOL""},{""end"":285,""text"":""CHARMM36"",""start"":277,""category"":""FFM""},{""end"":300,""text"":""Slipids"",""start"":293,""category"":""FFM""},{""end"":367,""text"":""CHARMM36"",""start"":359,""category"":""FFM""},{""end"":424,""text"":""C36"",""start"":421,""category"":""FFM""},{""end"":430,""text"":""SL"",""start"":428,""category"":""FFM""},{""end"":589,""text"":""100-200ns"",""start"":580,""category"":""STIME""},{""end"":612,""text"":""200-300ns"",""start"":603,""category"":""STIME""}]",268138566,"[{""end"":117,""text"":""CHARMM36"",""start"":109,""labels"":[""FFM""]},{""end"":285,""text"":""CHARMM36"",""start"":277,""labels"":[""FFM""]},{""end"":629,""text"":""100ns"",""start"":624,""labels"":[""STIME""]},{""end"":590,""text"":""100-200ns,"",""start"":580,""labels"":[""STIME""]},{""end"":613,""text"":""200-300ns."",""start"":603,""labels"":[""STIME""]},{""end"":424,""text"":""C36"",""start"":421,""labels"":[""FFM""]},{""end"":509,""text"":""gmx"",""start"":506,""labels"":[""SOFTNAME""]},{""end"":133,""text"":""Slipids\"""",""start"":125,""labels"":[""FFM""]},{""end"":368,""text"":""CHARMM36."",""start"":359,""labels"":[""FFM""]},{""end"":430,""text"":""SL"",""start"":428,""labels"":[""FFM""]}]",8317.804999999998,"MD simulation input files and results for ,,Atomistic MD simulations of n-alkanes in a phospholipid bilayer: CHARMM36 versus Slipids""
Input files and trajectories of n-alkane/lipid systems used in the article: ,,Atomistic MD simulations of n-alkanes in a phospholipid bilayer: CHARMM36 versus Slipids"".
Equilibrated starting configurations were created using CHARMM36. Otherwise, filenames specifiy the force field used (C36 or SL), Temperature and system composition.
.xtc trajectories were created using gmx trjconv with options -pbc nojump -dt 10. run2 equals simulations from 100-200ns, run3 equals 200-300ns. The first 100ns were excluded from the analysis and are not included in this dataset.
Exemplary .mdp files have been included for both force-fields. Please refer to the manuscript for the force field sources and additional information.",2026-07-10T14:08:07.765905Z,https://zenodo.org/records/7572990
33.33,97136566,175924,2026-06-08T10:37:25.416481Z,"[{""end"":81,""text"":""n-alkanes"",""start"":72,""category"":""MOL""},{""end"":99,""text"":""phospholipid"",""start"":87,""category"":""MOL""},{""end"":117,""text"":""CHARMM36"",""start"":109,""category"":""FFM""},{""end"":132,""text"":""Slipids"",""start"":125,""category"":""FFM""},{""end"":174,""text"":""n-alkane"",""start"":166,""category"":""MOL""},{""end"":249,""text"":""n-alkanes"",""start"":240,""category"":""MOL""},{""end"":267,""text"":""phospholipid"",""start"":255,""category"":""MOL""},{""end"":285,""text"":""CHARMM36"",""start"":277,""category"":""FFM""},{""end"":300,""text"":""Slipids"",""start"":293,""category"":""FFM""},{""end"":367,""text"":""CHARMM36"",""start"":359,""category"":""FFM""},{""end"":424,""text"":""C36"",""start"":421,""category"":""FFM""},{""end"":430,""text"":""SL"",""start"":428,""category"":""FFM""},{""end"":589,""text"":""100-200ns"",""start"":580,""category"":""STIME""},{""end"":612,""text"":""200-300ns"",""start"":603,""category"":""STIME""}]",268138566,"[{""end"":81,""text"":""n-alkanes"",""start"":72,""labels"":[""MOL""]},{""end"":99,""text"":""phospholipid"",""start"":87,""labels"":[""MOL""]},{""end"":117,""text"":""CHARMM36"",""start"":109,""labels"":[""FFM""]},{""end"":132,""text"":""Slipids"",""start"":125,""labels"":[""FFM""]},{""end"":285,""text"":""CHARMM36"",""start"":277,""labels"":[""FFM""]},{""end"":300,""text"":""Slipids"",""start"":293,""labels"":[""FFM""]},{""end"":367,""text"":""CHARMM36"",""start"":359,""labels"":[""FFM""]},{""end"":424,""text"":""C36"",""start"":421,""labels"":[""FFM""]},{""end"":430,""text"":""SL"",""start"":428,""labels"":[""FFM""]},{""end"":174,""text"":""n-alkane"",""start"":166,""labels"":[""MOL""]},{""end"":249,""text"":""n-alkanes"",""start"":240,""labels"":[""MOL""]},{""end"":267,""text"":""phospholipid"",""start"":255,""labels"":[""MOL""]},{""end"":612,""text"":""200-300ns"",""start"":603,""labels"":[""STIME""]},{""end"":589,""text"":""100-200ns"",""start"":580,""labels"":[""STIME""]}]",149.322,"MD simulation input files and results for ,,Atomistic MD simulations of n-alkanes in a phospholipid bilayer: CHARMM36 versus Slipids""
Input files and trajectories of n-alkane/lipid systems used in the article: ,,Atomistic MD simulations of n-alkanes in a phospholipid bilayer: CHARMM36 versus Slipids"".
Equilibrated starting configurations were created using CHARMM36. Otherwise, filenames specifiy the force field used (C36 or SL), Temperature and system composition.
.xtc trajectories were created using gmx trjconv with options -pbc nojump -dt 10. run2 equals simulations from 100-200ns, run3 equals 200-300ns. The first 100ns were excluded from the analysis and are not included in this dataset.
Exemplary .mdp files have been included for both force-fields. Please refer to the manuscript for the force field sources and additional information.",2026-06-08T10:37:25.416492Z,https://zenodo.org/records/7572990
33.33,96954355,175921,2026-06-04T08:51:50.291698Z,"[{""end"":81,""text"":""n-alkanes"",""start"":72,""category"":""MOL""},{""end"":99,""text"":""phospholipid"",""start"":87,""category"":""MOL""},{""end"":117,""text"":""CHARMM36"",""start"":109,""category"":""FFM""},{""end"":132,""text"":""Slipids"",""start"":125,""category"":""FFM""},{""end"":174,""text"":""n-alkane"",""start"":166,""category"":""MOL""},{""end"":249,""text"":""n-alkanes"",""start"":240,""category"":""MOL""},{""end"":267,""text"":""phospholipid"",""start"":255,""category"":""MOL""},{""end"":285,""text"":""CHARMM36"",""start"":277,""category"":""FFM""},{""end"":300,""text"":""Slipids"",""start"":293,""category"":""FFM""},{""end"":367,""text"":""CHARMM36"",""start"":359,""category"":""FFM""},{""end"":424,""text"":""C36"",""start"":421,""category"":""FFM""},{""end"":430,""text"":""SL"",""start"":428,""category"":""FFM""},{""end"":589,""text"":""100-200ns"",""start"":580,""category"":""STIME""},{""end"":612,""text"":""200-300ns"",""start"":603,""category"":""STIME""}]",268138566,"[{""end"":99,""text"":""phospholipid"",""start"":87,""labels"":[""MOL""]},{""end"":117,""text"":""CHARMM36"",""start"":109,""labels"":[""FFM""]},{""end"":132,""text"":""Slipids"",""start"":125,""labels"":[""FFM""]},{""end"":267,""text"":""phospholipid"",""start"":255,""labels"":[""MOL""]},{""end"":285,""text"":""CHARMM36"",""start"":277,""labels"":[""FFM""]},{""end"":300,""text"":""Slipids"",""start"":293,""labels"":[""FFM""]},{""end"":367,""text"":""CHARMM36"",""start"":359,""labels"":[""FFM""]},{""end"":424,""text"":""C36"",""start"":421,""labels"":[""MOL""]},{""end"":430,""text"":""SL"",""start"":428,""labels"":[""MOL""]},{""end"":589,""text"":""100-200ns"",""start"":580,""labels"":[""STIME""]},{""end"":612,""text"":""200-300ns"",""start"":603,""labels"":[""STIME""]}]",173.752,"MD simulation input files and results for ,,Atomistic MD simulations of n-alkanes in a phospholipid bilayer: CHARMM36 versus Slipids""
Input files and trajectories of n-alkane/lipid systems used in the article: ,,Atomistic MD simulations of n-alkanes in a phospholipid bilayer: CHARMM36 versus Slipids"".
Equilibrated starting configurations were created using CHARMM36. Otherwise, filenames specifiy the force field used (C36 or SL), Temperature and system composition.
.xtc trajectories were created using gmx trjconv with options -pbc nojump -dt 10. run2 equals simulations from 100-200ns, run3 equals 200-300ns. The first 100ns were excluded from the analysis and are not included in this dataset.
Exemplary .mdp files have been included for both force-fields. Please refer to the manuscript for the force field sources and additional information.",2026-06-04T08:51:50.291714Z,https://zenodo.org/records/7572990
33.33,98916349,175922,2026-07-08T15:14:19.955091Z,"[{""end"":40,""text"":""Alanine Dipeptide"",""start"":23,""category"":""MOL""},{""end"":68,""text"":""87 microsecond"",""start"":54,""category"":""STIME""},{""end"":138,""text"":""alanine dipeptide"",""start"":121,""category"":""MOL""},{""end"":188,""text"":""300 K"",""start"":183,""category"":""STEMP""},{""end"":217,""text"":""AMBER99SB-ILDN"",""start"":203,""category"":""FFM""},{""end"":339,""text"":""GROMACS"",""start"":332,""category"":""SOFTNAME""},{""end"":346,""text"":""2021.4"",""start"":340,""category"":""SOFTVERS""},{""end"":545,""text"":""COLVAR"",""start"":539,""category"":""SOFTNAME""},{""end"":588,""text"":""Alanine dipeptide"",""start"":571,""category"":""MOL""}]",268138567,"[{""end"":188,""text"":""300 K"",""start"":183,""labels"":[""STEMP""]},{""end"":217,""text"":""AMBER99SB-ILDN"",""start"":203,""labels"":[""FFM""]},{""end"":339,""text"":""GROMACS"",""start"":332,""labels"":[""SOFTNAME""]},{""end"":346,""text"":""2021.4"",""start"":340,""labels"":[""SOFTVERS""]},{""end"":578,""text"":""Alanine"",""start"":571,""labels"":[""MOL""]}]",42.402,"Unbiased simulation of Alanine Dipeptide in gas phase
87 microsecond long unbiased Molecular Dynamics (MD) trajectory of alanine dipeptide in gas phase (traj_comp.xtc). Temperature = 300 K. Force Field: AMBER99SB-ILDN. There are 30+ back and forth transitions between the C_7eq and the C_7ax state. Simulations were performed using GROMACS 2021.4. The .tpr file is provided for reproduction. Details of the simulation parameters are accessible from the md.log file. The phi and psi torsion angles and the internal energy is printed in the COLVAR file at 2 ps interval.  
Alanine dipeptide is often used as a model system to test new simulation methods. We hope that sharing our long unbiased trajectory will help other research groups to compare the accuracy of the results obtained from new methods. 
This trajectory was generated as a part of our recent publication below. Please cite the following paper when using this trajectory: 
1. Ray, Dhiman, Narjes Ansari, Valerio Rizzi, Michele Invernizzi, and Michele Parrinello. ""Rare event kinetics from adaptive bias enhanced sampling."" Journal of Chemical Theory and Computation (2022). https://doi.org/10.1021/acs.jctc.2c00806 ",2026-07-08T15:14:19.955104Z,https://zenodo.org/records/7323535
33.33,97144834,175924,2026-06-08T12:48:20.509743Z,"[{""end"":40,""text"":""Alanine Dipeptide"",""start"":23,""category"":""MOL""},{""end"":68,""text"":""87 microsecond"",""start"":54,""category"":""STIME""},{""end"":138,""text"":""alanine dipeptide"",""start"":121,""category"":""MOL""},{""end"":188,""text"":""300 K"",""start"":183,""category"":""STEMP""},{""end"":217,""text"":""AMBER99SB-ILDN"",""start"":203,""category"":""FFM""},{""end"":339,""text"":""GROMACS"",""start"":332,""category"":""SOFTNAME""},{""end"":346,""text"":""2021.4"",""start"":340,""category"":""SOFTVERS""},{""end"":545,""text"":""COLVAR"",""start"":539,""category"":""SOFTNAME""},{""end"":588,""text"":""Alanine dipeptide"",""start"":571,""category"":""MOL""}]",268138567,"[{""end"":40,""text"":""Alanine Dipeptide"",""start"":23,""labels"":[""MOL""]},{""end"":68,""text"":""87 microsecond"",""start"":54,""labels"":[""STIME""]},{""end"":138,""text"":""alanine dipeptide"",""start"":121,""labels"":[""MOL""]},{""end"":188,""text"":""300 K"",""start"":183,""labels"":[""STEMP""]},{""end"":217,""text"":""AMBER99SB-ILDN"",""start"":203,""labels"":[""FFM""]},{""end"":339,""text"":""GROMACS"",""start"":332,""labels"":[""SOFTNAME""]},{""end"":346,""text"":""2021.4"",""start"":340,""labels"":[""SOFTVERS""]},{""end"":545,""text"":""COLVAR"",""start"":539,""labels"":[""SOFTNAME""]},{""end"":588,""text"":""Alanine dipeptide"",""start"":571,""labels"":[""MOL""]}]",62.317,"Unbiased simulation of Alanine Dipeptide in gas phase
87 microsecond long unbiased Molecular Dynamics (MD) trajectory of alanine dipeptide in gas phase (traj_comp.xtc). Temperature = 300 K. Force Field: AMBER99SB-ILDN. There are 30+ back and forth transitions between the C_7eq and the C_7ax state. Simulations were performed using GROMACS 2021.4. The .tpr file is provided for reproduction. Details of the simulation parameters are accessible from the md.log file. The phi and psi torsion angles and the internal energy is printed in the COLVAR file at 2 ps interval.  
Alanine dipeptide is often used as a model system to test new simulation methods. We hope that sharing our long unbiased trajectory will help other research groups to compare the accuracy of the results obtained from new methods. 
This trajectory was generated as a part of our recent publication below. Please cite the following paper when using this trajectory: 
1. Ray, Dhiman, Narjes Ansari, Valerio Rizzi, Michele Invernizzi, and Michele Parrinello. ""Rare event kinetics from adaptive bias enhanced sampling."" Journal of Chemical Theory and Computation (2022). https://doi.org/10.1021/acs.jctc.2c00806 ",2026-06-08T12:48:20.509753Z,https://zenodo.org/records/7323535
33.33,96434423,175921,2026-05-26T09:53:00.715927Z,"[{""end"":40,""text"":""Alanine Dipeptide"",""start"":23,""category"":""MOL""},{""end"":68,""text"":""87 microsecond"",""start"":54,""category"":""STIME""},{""end"":138,""text"":""alanine dipeptide"",""start"":121,""category"":""MOL""},{""end"":188,""text"":""300 K"",""start"":183,""category"":""STEMP""},{""end"":217,""text"":""AMBER99SB-ILDN"",""start"":203,""category"":""FFM""},{""end"":339,""text"":""GROMACS"",""start"":332,""category"":""SOFTNAME""},{""end"":346,""text"":""2021.4"",""start"":340,""category"":""SOFTVERS""},{""end"":545,""text"":""COLVAR"",""start"":539,""category"":""SOFTNAME""},{""end"":588,""text"":""Alanine dipeptide"",""start"":571,""category"":""MOL""}]",268138567,"[{""end"":30,""text"":""Alanine"",""start"":23,""labels"":[""MOL""]},{""end"":189,""text"":""300 K."",""start"":183,""labels"":[""STEMP""]},{""end"":68,""text"":""87 microsecond"",""start"":54,""labels"":[""STIME""]},{""end"":128,""text"":""alanine"",""start"":121,""labels"":[""MOL""]},{""end"":218,""text"":""AMBER99SB-ILDN."",""start"":203,""labels"":[""FFM""]},{""end"":339,""text"":""GROMACS"",""start"":332,""labels"":[""SOFTNAME""]},{""end"":347,""text"":""2021.4."",""start"":340,""labels"":[""SOFTVERS""]},{""end"":578,""text"":""Alanine"",""start"":571,""labels"":[""MOL""]},{""end"":546,""text"":""COLVAR "",""start"":539,""labels"":[""SOFTNAME""]}]",2980.29,"Unbiased simulation of Alanine Dipeptide in gas phase
87 microsecond long unbiased Molecular Dynamics (MD) trajectory of alanine dipeptide in gas phase (traj_comp.xtc). Temperature = 300 K. Force Field: AMBER99SB-ILDN. There are 30+ back and forth transitions between the C_7eq and the C_7ax state. Simulations were performed using GROMACS 2021.4. The .tpr file is provided for reproduction. Details of the simulation parameters are accessible from the md.log file. The phi and psi torsion angles and the internal energy is printed in the COLVAR file at 2 ps interval.  
Alanine dipeptide is often used as a model system to test new simulation methods. We hope that sharing our long unbiased trajectory will help other research groups to compare the accuracy of the results obtained from new methods. 
This trajectory was generated as a part of our recent publication below. Please cite the following paper when using this trajectory: 
1. Ray, Dhiman, Narjes Ansari, Valerio Rizzi, Michele Invernizzi, and Michele Parrinello. ""Rare event kinetics from adaptive bias enhanced sampling."" Journal of Chemical Theory and Computation (2022). https://doi.org/10.1021/acs.jctc.2c00806 ",2026-05-28T09:49:16.946772Z,https://zenodo.org/records/7323535
66.67,99071292,175922,2026-07-10T10:34:32.317730Z,"[{""end"":49,""text"":""GPO"",""start"":46,""category"":""MOL""},{""end"":57,""text"":""GPP"",""start"":54,""category"":""MOL""},{""end"":71,""text"":""tropocollagen"",""start"":58,""category"":""MOL""},{""end"":169,""text"":""GPO"",""start"":166,""category"":""MOL""},{""end"":177,""text"":""GPP"",""start"":174,""category"":""MOL""},{""end"":193,""text"":""collagen"",""start"":185,""category"":""MOL""},{""end"":253,""text"":""OPTIM"",""start"":248,""category"":""SOFTNAME""},{""end"":268,""text"":""PATHSAMPLE"",""start"":258,""category"":""SOFTNAME""},{""end"":282,""text"":""AMBER"",""start"":277,""category"":""FFM""},{""end"":321,""text"":""GPO"",""start"":318,""category"":""MOL""},{""end"":328,""text"":""GPP"",""start"":325,""category"":""MOL""},{""end"":622,""text"":""AMBERTools"",""start"":612,""category"":""SOFTNAME""}]",268138568,"[{""end"":49,""text"":""GPO"",""start"":46,""labels"":[""MOL""]},{""end"":57,""text"":""GPP"",""start"":54,""labels"":[""MOL""]},{""end"":71,""text"":""tropocollagen"",""start"":58,""labels"":[""MOL""]},{""end"":169,""text"":""GPO"",""start"":166,""labels"":[""MOL""]},{""end"":177,""text"":""GPP"",""start"":174,""labels"":[""MOL""]},{""end"":193,""text"":""collagen"",""start"":185,""labels"":[""MOL""]},{""end"":282,""text"":""AMBER"",""start"":277,""labels"":[""FFM""]},{""end"":253,""text"":""OPTIM"",""start"":248,""labels"":[""SOFTNAME""]},{""end"":268,""text"":""PATHSAMPLE"",""start"":258,""labels"":[""SOFTNAME""]},{""end"":321,""text"":""GPO"",""start"":318,""labels"":[""MOL""]},{""end"":328,""text"":""GPP"",""start"":325,""labels"":[""MOL""]},{""end"":622,""text"":""AMBERTools"",""start"":612,""labels"":[""SOFTNAME""]}]",144.136,"Data set containing the energy landscapes for GPO and GPP tropocollagen models under pulling forces
Energy landscapes (databases of minima and transition states) for GPO and GPP repeat collagen models under constant pulling forces as explored with OPTIM and PATHSAMPLE with an AMBER force field.
The systems are seven GPO or GPP per chain capped with ACE and NME.
 The forces applied are 0 pN (F0), 10 pN (F1), 50 pN (F2), 100 pN (F3), 250 pN (F4), 500 pN (F5) and 750 pN (F6).
The folders contains numerous analysis scripts and graphs. Most of these assume python with numpy and pandas, as well as cpptraj from AMBERTools.",2026-07-10T10:34:32.317748Z,https://zenodo.org/records/7107608
